last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Ray, Robbie,592662,2018,526,286,.216,.216,.000,.379,.359,.020,.312,.305,.007
Martinez, Carlos,593372,2018,521,333,.228,.222,.006,.314,.335,-.021,.292,.300,-.008
Bettis, Chad,518452,2018,518,386,.265,.269,-.004,.454,.448,.006,.339,.344,-.005
Kennedy, Ian,453178,2018,518,372,.265,.261,.004,.456,.485,-.029,.334,.342,-.008
Straily, Dan,573185,2018,518,360,.237,.263,-.026,.431,.470,-.039,.324,.350,-.026
Blach, Ty,621389,2018,512,395,.289,.286,.003,.399,.419,-.020,.325,.332,-.007
Rodon, Carlos,607074,2018,511,353,.220,.228,-.008,.376,.373,.003,.309,.314,-.005
Mahle, Tyler,641816,2018,507,340,.283,.265,.018,.486,.435,.051,.360,.336,.024
Lauer, Eric,641778,2018,504,352,.285,.266,.019,.442,.412,.030,.347,.332,.015
Stripling, Ross,548389,2018,503,344,.257,.227,.030,.431,.362,.069,.309,.270,.039
Bailey, Homer,456701,2018,494,384,.313,.301,.012,.541,.512,.029,.377,.366,.011
Gant, John,607231,2018,487,333,.216,.249,-.033,.336,.368,-.032,.286,.314,-.028
Rodriguez, Dereck,605446,2018,487,355,.223,.243,-.020,.376,.373,.003,.289,.300,-.011
Musgrove, Joe,605397,2018,486,355,.253,.237,.016,.389,.370,.019,.296,.286,.010
Chatwood, Tyler,543022,2018,486,299,.245,.253,-.008,.371,.392,-.021,.351,.363,-.012
Bieber, Shane,669456,2018,485,342,.285,.260,.025,.467,.426,.041,.336,.317,.019
DeSclafani, Anthony,543101,2018,484,344,.266,.249,.017,.479,.423,.056,.336,.311,.025
Mengden, Daniel,596043,2018,476,375,.234,.280,-.046,.420,.495,-.075,.300,.351,-.051
Sanchez, Aaron,592717,2018,474,323,.262,.271,-.009,.407,.444,-.037,.337,.354,-.017
Moore, Matt,519043,2018,471,339,.305,.290,.015,.540,.493,.047,.386,.365,.021
Glasnow, Tyler,607192,2018,468,275,.217,.216,.001,.376,.384,-.008,.302,.305,-.003
Santiago, Hector,502327,2018,460,292,.258,.228,.030,.445,.420,.025,.349,.331,.018
Eovaldi, Nathan,543135,2018,455,331,.246,.245,.001,.403,.379,.024,.293,.288,.005
Hess, David,605276,2018,454,335,.262,.245,.017,.488,.451,.037,.350,.330,.020
Cahill, Trevor,502239,2018,450,303,.227,.243,-.016,.348,.383,-.035,.289,.311,-.022
Stroman, Marcus,573186,2018,449,334,.283,.267,.016,.416,.401,.015,.330,.325,.005
Erlin, Robbie,572362,2018,439,339,.267,.254,.013,.411,.407,.004,.297,.293,.004
Johnson, Brian,598271,2018,434,308,.263,.257,.006,.443,.431,.012,.335,.329,.006
Suter, Brent,608718,2018,424,317,.258,.259,-.001,.456,.434,.022,.321,.315,.006
Gallardo, Yovani,451596,2018,422,314,.289,.288,.001,.495,.474,.021,.371,.366,.005
Borucki, Ryan,621366,2018,415,313,.256,.260,-.004,.387,.409,-.022,.305,.317,-.012
Brault, Steven,643230,2018,414,266,.244,.256,-.012,.384,.416,-.032,.332,.349,-.017
Lugo, Seth,607625,2018,410,277,.217,.228,-.011,.324,.358,-.034,.258,.278,-.020
Vargas, Jason,450306,2018,404,285,.276,.255,.021,.481,.434,.047,.351,.327,.024
Perez, Martin,527048,2018,397,307,.329,.300,.029,.527,.471,.056,.390,.364,.026
Buchholz, Clay,453329,2018,393,286,.220,.253,-.033,.353,.404,-.051,.269,.305,-.036
Senzatela, Antonio,622608,2018,391,288,.266,.258,.008,.436,.408,.028,.329,.317,.012
Pena, Felix,570240,2018,389,272,.247,.248,-.001,.392,.385,.007,.304,.303,.001
Wright, Mike,605541,2018,388,271,.299,.286,.013,.464,.432,.032,.360,.351,.009
Jackson, Edwin,429719,2018,381,274,.221,.260,-.039,.386,.449,-.063,.300,.342,-.042
Chavez, Jesse,445926,2018,377,268,.235,.242,-.007,.377,.398,-.021,.277,.290,-.013
Castro, Miguel,612434,2018,376,264,.236,.270,-.034,.368,.440,-.072,.312,.354,-.042
German, Domingo,593334,2018,375,235,.242,.223,.019,.457,.361,.096,.332,.295,.037
Kuhl, Chad,641771,2018,373,255,.275,.283,-.008,.463,.511,-.048,.345,.369,-.024
Lyles, Jordan,543475,2018,371,256,.249,.227,.022,.408,.384,.024,.308,.299,.009
Velazquez, Hector,584171,2018,370,284,.290,.284,.006,.415,.419,-.004,.334,.335,-.001
Hellickson, Jeremy,476451,2018,370,277,.230,.253,-.023,.389,.428,-.039,.294,.320,-.026
Chirinos, Yonny,630023,2018,370,265,.254,.271,-.017,.378,.425,-.047,.297,.326,-.029
Garcia, Jaime,448802,2018,369,249,.258,.259,-.001,.459,.449,.010,.349,.347,.002
Petit, Yusmeiro,433589,2018,368,274,.221,.230,-.009,.392,.412,-.020,.272,.293,-.021
Koch, Matt,571863,2018,360,282,.267,.306,-.039,.492,.592,-.100,.348,.404,-.056
Smith, Burch,572143,2018,358,237,.292,.257,.035,.497,.455,.042,.373,.350,.023
Wacha, Michael,608379,2018,355,246,.221,.279,-.058,.344,.446,-.102,.286,.350,-.064
Ramirez, Noe,598287,2018,354,222,.237,.233,.004,.435,.402,.033,.323,.311,.012
Hardy, Blaine,543278,2018,351,261,.245,.231,.014,.404,.370,.034,.300,.292,.008
Gsellman, Robert,607229,2018,345,242,.250,.237,.013,.382,.365,.017,.300,.295,.005
Pomeranz, Drew,519141,2018,344,230,.297,.273,.024,.502,.470,.032,.384,.367,.017
Fillmyer, Heath,641571,2018,344,253,.255,.270,-.015,.395,.419,-.024,.315,.330,-.015
Lorenzen, Michael,547179,2018,344,253,.258,.261,-.003,.371,.383,-.012,.311,.320,-.009
Kingham, Nick,592468,2018,342,242,.259,.254,.005,.511,.485,.026,.353,.345,.008
Andriese, Matt,542882,2018,340,235,.270,.270,.000,.492,.462,.030,.345,.336,.009
Hicks, Jordan,663855,2018,339,216,.208,.225,-.017,.257,.291,-.034,.275,.297,-.022
McCarthy, Brandon,435221,2018,339,253,.300,.269,.031,.498,.452,.046,.360,.330,.030
Miley, Wade,489119,2018,338,256,.237,.261,-.024,.327,.359,-.032,.283,.307,-.024
Mitchell, Bryan,571951,2018,337,254,.294,.290,.004,.481,.468,.013,.375,.374,.001
Flynn, Brian,543169,2018,336,251,.295,.296,-.001,.417,.458,-.041,.344,.360,-.016
Gomber, Austin,596295,2018,334,231,.277,.277,.000,.432,.472,-.040,.338,.353,-.015
Anderson, Brett,474463,2018,333,271,.285,.281,.004,.453,.447,.006,.331,.326,.005
Biagini, Joe,607352,2018,328,245,.323,.293,.030,.529,.484,.045,.391,.364,.027
Smith, Caleb,592761,2018,326,202,.220,.230,-.010,.388,.422,-.034,.301,.320,-.019
Plutko, Adam,592644,2018,326,242,.261,.247,.014,.555,.498,.057,.364,.339,.025
Ryu, Hyun-Jin,547943,2018,324,219,.221,.228,-.007,.362,.365,-.003,.268,.273,-.005
Richards, Garrett,572070,2018,323,202,.222,.229,-.007,.382,.397,-.015,.302,.312,-.010
Peralta, Freddy,642547,2018,321,181,.178,.196,-.018,.331,.351,-.020,.278,.296,-.018
Tomlin, Josh,458708,2018,321,259,.304,.293,.011,.611,.567,.044,.396,.379,.017
Hildenberger, Trevor,657610,2018,319,221,.263,.254,.009,.477,.423,.054,.333,.313,.020
Stammen, Craig,489334,2018,317,209,.221,.220,.001,.313,.323,-.010,.253,.258,-.005
Givens, Mychal,571710,2018,317,205,.218,.218,.000,.325,.324,.001,.272,.273,-.001
Tropeano, Nick,607374,2018,316,219,.242,.262,-.020,.488,.477,.011,.342,.350,-.008
Treinen, Blake,595014,2018,315,192,.158,.203,-.045,.199,.276,-.077,.187,.237,-.050
Ottavino, Adam,493603,2018,309,154,.158,.154,.004,.238,.241,-.003,.231,.233,-.002
Farmer, Buck,571656,2018,308,209,.255,.250,.005,.399,.370,.029,.332,.321,.011
Hader, Josh,623352,2018,306,132,.132,.158,-.026,.265,.280,-.015,.219,.235,-.016
Ziegler, Brad,446899,2018,305,228,.257,.261,-.004,.391,.373,.018,.304,.306,-.002
Familia, Jeurys,544727,2018,302,189,.221,.211,.010,.303,.308,-.005,.269,.273,-.004
Hand, Brad,543272,2018,301,158,.198,.201,-.003,.359,.335,.024,.289,.283,.006
Trivino, Lou,642152,2018,299,184,.201,.227,-.026,.314,.348,-.034,.266,.290,-.024
Jeffress, Jeremy,502026,2018,299,182,.182,.219,-.037,.271,.324,-.053,.234,.270,-.036
Claudio, Alex,592222,2018,299,242,.329,.284,.045,.466,.408,.058,.352,.317,.035
Hughes, Jared,453172,2018,298,214,.212,.238,-.026,.290,.345,-.055,.251,.285,-.034
Green, Chad,643338,2018,298,188,.229,.236,-.007,.373,.416,-.043,.274,.297,-.023
Bradley, Archie,605151,2018,296,197,.229,.221,.008,.380,.374,.006,.293,.287,.006
Vazquez, Felipe,553878,2018,296,182,.232,.208,.024,.321,.310,.011,.273,.259,.014
Ramirez, Yefry,606162,2018,294,192,.257,.234,.023,.446,.391,.055,.347,.321,.026
McCarthy, Kevin,641838,2018,293,225,.259,.270,-.011,.389,.413,-.024,.304,.322,-.018
Skoglund, Eric,607215,2018,293,219,.246,.273,-.027,.470,.477,-.007,.334,.351,-.017
Pressly, Ryan,519151,2018,292,166,.216,.177,.039,.322,.281,.041,.267,.240,.027
McFarland, T.J.,519008,2018,292,228,.239,.265,-.026,.336,.376,-.040,.275,.303,-.028
Iglesias, Raisel,628452,2018,291,184,.199,.237,-.038,.372,.404,-.032,.278,.312,-.034
Pruitt, Austin,643493,2018,291,232,.268,.272,-.004,.405,.416,-.011,.307,.316,-.009
Allen, Cody,592102,2018,289,172,.231,.211,.020,.410,.397,.013,.323,.309,.014
Jansen, Kenley,445276,2018,289,188,.201,.203,-.002,.383,.351,.032,.273,.266,.007
Fister, Doug,450729,2018,289,224,.278,.290,-.012,.456,.456,.000,.344,.356,-.012
Brach, Brad,542960,2018,289,200,.279,.256,.023,.403,.371,.032,.329,.307,.022
